eng,hin
Absence of rain caused the plants to die.,पौधे बारिश के बिना मर गए।
A button has come off my raincoat.,मेरे रेनकोट से एक बटन निकल आया है।
A cat ran after a mouse.,एक बिल्ली चूहे के पीछे भागी।
A clock has two hands.,घड़ी के दो हाथ होते हैं.
A country is a dangerous machine.,देश एक खतरनाक मशीन होती है।
A crow is as black as coal.,कौआ कोयले जैसा काला होता है।
Actinium was discovered by André-Louis Debierne in 1899.,ऐक्टिनियम का खोज आंड्रे-लूई डेबिएर्न ने साल १८९९ में किया था।
Add a little sugar and cream.,थोड़ी शक़्क़र और मलाई डालो।
Adopt the pace of nature: her secret is patience.,प्रकृति की गति अपनाएं: उसका रहस्य है धीरज।
A fire broke out near my house.,मेरे घर के पड़ोस में आग लग गई थी।
Africa is not a country.,आफ़्रिका देश नहीं है।
After Saturday comes Sunday.,शनिवार के बाद रविवार आता है।
"After sex, I fell asleep with my head on her belly.",सेक्स के बाद मैं उसके पेट पर सिर रख कर सो गया।
"After some hesitation, he laid the book on the desk.","थोड़ी हिचकिचाहट के बाद, उसने किताब को मेज़ पर रखा।"
"After the revolution, France became a republic.","क्रांति के बाद, फ़्रांस एक गणतंत्र बना।"
"Afterwards, I did not speak with them.","उसके बाद, मैंने उनसे बात नहीं की।"
Again!,फिर से!
Again?,फिर से?
A good idea suddenly struck her.,अचानक उसे एक अच्छा आइडिया आया।
Air is missing!,वायु अनुपस्थित है!
A is 5 times as long as B.,A B से पाँचगुना लम्बा है।
Ajay is poor.,अजय गरीब है।
"Aksai Chin is claimed by India, but controlled by China.","अक्साई चिन पर भारत का दावा है, मगर वह चीन के नियंत्रण में है।"
Algeria is my country.,अल्जीरिया मेरा देश है।
Algeria is situated in North Africa.,एलजीरिया उत्तर आफ़्रिका में स्थित है।
Allen is a poet.,ऐलन कवि है।
All human beings are born free and equal in dignity and rights. They are endowed with reason and conscience and should act towards one another in a spirit of brotherhood.,सभी मनुष्यों को गौरव और अधिकारों के मामले में जन्मजात स्वतन्त्रता प्राप्त है। उन्हें बुद्धि और अन्तरात्मा की देन प्राप्त है और परस्पर उन्हें भाईचारे के भाव से बर्ताव करना चाहिये।
All life is an experiment.,पूरा जीवन एक प्रयोग है।
All men are equal according to law.,क़ानून के मुताबिक सभी मनुष्य समान हैं।
"All of a sudden, she began to laugh.",वह अचानक से हँस पड़ी।
All the boys ran away.,सभी लड़के भाग गए।
All the flowers in the garden died for lack of water.,बाग के सारे फूल पानी की कमी की वजह से मर गए।
All those flowers look alike.,वे सभी फूल एक जैसे ही दिखते हैं।
Almost all the leaves have fallen.,लगभग सारी-की-सारी पत्तियाँ गिर चुकीं हैं।
"Almost everything you do will seem insignificant, but it is important that you do it.","आप का कोई भी काम महत्वहीन हो सकता है, किंतु महत्वपूर्ण तो यह है कि आप कुछ करें।"
A lot of countries participated in the Olympic Games.,बहुत सारे देशों ने ओलिंपिक खेलों में हिस्सा लिया।
"A man is great by deeds, not by birth.","“व्यक्ति कर्मों से महान बनता है, जन्म से नहीं।"
A man like that gets on my nerves.,उस तरह का आदमी मुझसे झिलता नहीं है।
A man must work.,एक आदमी के लिए काम करना ज़रूरी है।
America is made up of 50 states.,अमरीका ५० राज्यों का बना है।
Americans like football in the same way that Japanese like baseball.,अमरिकियों को फ़ुटबॉल पसंद है वैसे ही जैसे जापानीयों को बेसबॉल।
America rules the world.,अमरीका दुनिया पर राज करता है।
Am I ready to die?,क्या मैं मरने के लिये तयार हूँ?
Ammonium carbonate is an organic compound.,अमोनियम कार्बोनेट एक कार्बनिक यौगिक यौगिक है।
A mother is responsible for the conduct of her children.,एक माँ अपने बच्चों के बर्ताव के लिए ज़िम्मेदार होती है।
A mouse came into the room.,कमरे में एक चूहा आ गया।
A mouse came into the room.,कमरे में एक चूहा आया।
Anderson is very scared of the dogs.,ऐनडर्सन कुत्तों से बहुत डरता है।
And there is not even enough water.,और वहाँ पर पानी भी काफ़ी नहीं है।
An early-morning walk is a blessing for the whole day.,प्रातःकाल का भ्रमण पूरे दिन के लिए वरदान होता है।
An earthquake destroyed the building.,एक भूकंप ने वह इमारत तबाह कर दी।
"A neutral country is a country that doesn't sell weapons to a warring country, unless you pay cash.","तटस्थ देश वह देश होता है जो किसी युद्धरत देश को हत्यार नहीं बेचता, सिवाय अगर आप नकद में भुगतान कर रहे हैं।"
An investment in knowledge pays the best interest.,ज्ञान में पूंजी लगाने से सर्वाधिक ब्याज मिलता है।
Ann is a little girl.,अॅन एक छोटी लड़की है।
Ann is a little girl.,अॅन छोटी लड़की है।
Ann often plays tennis after school.,ऐन अक्सर स्कूल के बाद टेनिस खेलने जाती है।
An orange tree provides an orange.,संतरे के पेड़ से संतरा प्राप्त होता है।
Answer in English.,अंग्रेज़ी में जवाब दो।
Answer me.,मुझे जवाब दो।
Answer my questions.,मेरे सवालों का जवाब दो।
Anyone could do that.,वह तो कोई भी कर सकता है।
Anything new?,कुछ नई बात?
A part of this land is mine.,इस ज़मीन का हिस्सा मेरा है।
A politician like that gets my goat.,ऐसे नेता मुझे गुस्सा दिलाते हैं।
Apples were on sale today.,आज सेव सस्ते बिक रहे थे।
A rabbit has long ears.,खरगोश के कान लम्बे होते हैं।
Are Osakans greedy?,क्या ओसाकावासी लालची होते हैं?
Are they in the gym?,वे जिमखाने में हैं क्या?
Are they live?,क्या वे ज़िंदा हैं?
Are you alright?,तुम ठीक हो?
Are you a Taoist?,क्या आप ताओवादी हैं?
Are you back from Japan?,जापान से लौट आए?
Are you back from Japan?,तुम जापान से लौट आए हो क्या?
Are you coming back tomorrow?,क्या तुम कल लौट आ रही हो?
Are you coming back tomorrow?,क्या तुम कल लौट आ रहे हो?
Are you ever wrong?,तुम कभी गलत होते हो क्या?
Are you going to ask her?,क्या आप उसे पूछने वाले हैं?
Are you guys all right?,तुम लोग ठीक हो?
Are you in Bangladesh?,क्या तुम बांग्लादेश में हो?
Are you in London?,आप लंदन में हैं?
Are you interested in flowers?,तुम्हें फूलों में दिलचस्पी है क्या?
Are you listening to the radio?,रेडियो सुन रही हो?
Are you listening to the radio?,रेडियो सुन रही हो क्या?
Are you safe?,क्या तुम सुरक्षित हो?
Are you saying my life is in danger?,क्या तुम कह रहे हो कि मेरी जान ख़तरे में है?
Are you sleepy?,क्या तुम्हें नींद आई है?
Are you sleepy?,नींद आई है?
Are you speaking to me?,क्या तुम मुझसे बात कर रही हो?
Are you writing the proverbs?,क्या तुम मुहावरें लिख रही हो?
Are you younger than him?,तुम उससे छोटे हो क्या?
A rope was thrown into the water.,रस्सी को पानी में फेंक दिया गया।
A rubber ball bounces because it is elastic.,रबड़ की गेंद उछलती है क्योंकि वह लचीली होती है।
"As a matter of fact, I dislike him.",दरअसल मुझे वह पसंद नहीं है।
"As a result of the war, many people died.",जंग की वजह से बहुत सारे लोग मर गए।
"As far as I know, she's not yet married.","जहाँ तक की मुझे पता है, उसने अभी तक शादी नहीं की है।"
"As for me, I am satisfied.",मैं तो संतुष्ट हूँ।
"As he was an honest man, I employed him.","वह ईमानदार इनसान था, इसलिए मैंने उसे नौकरी पर रख लिया।"
"A ""shiitake"" is a type of mushroom.",शिइताके यह कुकुरमुत्ते का एक प्रकार है।
"As long as he stays, I will be happy.",जब तक वह रहेगा तब तक मैं ख़ुश रहूँगी ।
